problem,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
Prob132_always_if2,0,562,704,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_0.sv,x-ai/grok-code-fast-1,stop,,gen-1760463958-JRH3aoabK5OAhw9udChP
Prob132_always_if2,1,562,740,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_1.sv,x-ai/grok-code-fast-1,stop,,gen-1760463968-QTeaRMPzLZMN1Fgjw6oU
Prob132_always_if2,2,562,604,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_2.sv,x-ai/grok-code-fast-1,stop,,gen-1760463975-4HHAs44uuS7NkVYYieWW
Prob132_always_if2,3,562,1325,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_3.sv,x-ai/grok-code-fast-1,stop,,gen-1760463982-AVD5X8ngQzQWHkEPjhMA
Prob132_always_if2,4,562,575,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_4.sv,x-ai/grok-code-fast-1,stop,,gen-1760463992-RuKuLoWVJypZAa2w0W82
Prob132_always_if2,5,562,532,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_5.sv,x-ai/grok-code-fast-1,stop,,gen-1760463997-5vNReb6QwLSZvJFi1l0B
Prob132_always_if2,6,562,787,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_6.sv,x-ai/grok-code-fast-1,stop,,gen-1760464002-Kw43ycrszWetAFQLydBJ
Prob132_always_if2,8,562,748,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_8.sv,x-ai/grok-code-fast-1,stop,,gen-1760464014-6aaRlAU3Wl2ECFVzW9Wu
Prob132_always_if2,7,562,713,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_7.sv,x-ai/grok-code-fast-1,stop,,gen-1760464008-ZF9eJbE4B19CQjTqiexq
Prob132_always_if2,9,562,587,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_9.sv,x-ai/grok-code-fast-1,stop,,gen-1760464022-PWN5wnHHe8uM3kkHYGGa
