problem,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
Prob032_vector0,3,331,709,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_3.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760245909-Ge0EeQITdCLKze5FMoAn
Prob032_vector0,0,331,759,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760245832-Xlv0QJB9wlEKb4OdaTYh
Prob032_vector0,2,331,1537,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_2.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760245862-LlPNVD5nEcYrN2wqsm2I
Prob032_vector0,4,331,1084,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_4.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760245928-RqDBf8h4Vu34jUaNapgM
Prob032_vector0,5,331,1079,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_5.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760245961-PzQoYYzyKwHfAWK7mCto
Prob032_vector0,6,331,576,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_6.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760245985-JB2Yi74hq58pqwrNpaP4
Prob032_vector0,7,331,768,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_7.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760245999-clXwXZqd0V7rxQ9wGpzS
Prob032_vector0,1,331,825,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_1.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760245846-B2i4Rgx4ZMlHHUXqoIdM
Prob032_vector0,8,331,761,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_8.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246016-sXqbwpAzCOA9sSJ8nP1p
Prob032_vector0,9,331,493,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob032_vector0\Prob032_vector0_gen_9.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246031-MJodlrZ17OqzxDqItLk9
Prob096_review2015_fsmseq,0,335,5243,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246047-MFHJsjWr5cqAR067vEdZ
Prob096_review2015_fsmseq,2,335,1797,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_2.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246196-aTwxHiib7gvKn2Ee1W1r
Prob096_review2015_fsmseq,1,335,1580,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_1.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246157-b6IbN8APmpXzXPUa33Bs
Prob096_review2015_fsmseq,4,335,954,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_4.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246309-WEqhDfl759apL1JnExxl
Prob096_review2015_fsmseq,6,335,2886,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_6.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246349-Yogn8s2I40PB2JvDfIGs
Prob096_review2015_fsmseq,3,335,2643,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_3.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246253-8ciITOaAYv9Q0jOKJuI3
Prob096_review2015_fsmseq,5,335,1007,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_5.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246328-HBF8ga0kSFWa3wtrekGs
Prob096_review2015_fsmseq,8,335,2324,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_8.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246488-rAWxYPa9hmlEvYCDsvNm
Prob096_review2015_fsmseq,9,335,1775,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_9.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246546-pDRvMqrEwZDhweCGUtyD
Prob096_review2015_fsmseq,7,335,3139,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob096_review2015_fsmseq\Prob096_review2015_fsmseq_gen_7.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246583-VgKzRTNeB3yGbMSgn37y
Prob042_vector4,0,430,558,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob042_vector4\Prob042_vector4_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246650-yWzL2aG6GRlGYKEFWNVf
Prob042_vector4,3,430,835,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob042_vector4\Prob042_vector4_gen_3.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1760246706-JVHzLpcHzXs6CECUPquE
