problem,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
Prob006_vectorr,2,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_2.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381073-oex4PNVhHMQqF4brm6lr
Prob006_vectorr,0,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_0.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381067-PuZDHJpFbciUqM3uMlX0
Prob006_vectorr,1,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_1.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381070-DrmyGmHhMgTPTL7LzaJa
Prob006_vectorr,3,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_3.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381077-2cANUKYBAANePnt4HZqK
Prob006_vectorr,4,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_4.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381080-TKTcSqLsHyT0HKUiQrs1
Prob006_vectorr,8,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_8.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381097-L9gAGZ032zbRH9Wtwoid
Prob006_vectorr,7,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_7.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381093-BtbpEUTbIXnukE4b5bEA
Prob006_vectorr,5,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_5.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381085-z7TxIjAdTyRNgdqkMQlJ
Prob006_vectorr,6,338,154,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_6.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381089-prPpNRUXTLsoiFIGNDbB
Prob006_vectorr,9,338,89,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob006_vectorr\Prob006_vectorr_gen_9.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381100-R158lb3L5jKDBdWsVNUv
Prob135_m2014_q6b,1,526,338,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_1.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381110-BW5uRk7dYPmFMiRc2eYc
Prob135_m2014_q6b,0,526,304,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_0.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381104-DmuuXUJN53yQOLVQbdji
Prob135_m2014_q6b,4,526,330,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_4.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381132-eBNhUNmCCQkh8C5ifZA5
Prob135_m2014_q6b,2,526,336,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_2.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381118-y322lCpqIy7CZziI2H52
Prob135_m2014_q6b,5,526,305,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_5.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381139-IZcbAXj48loMgLhBXJEO
Prob135_m2014_q6b,3,526,363,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_3.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381125-t1selKNwNCaryGX56qng
Prob135_m2014_q6b,6,526,280,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_6.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381146-JBEi3dlOvY1fmwiSJD2p
Prob135_m2014_q6b,7,526,338,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_7.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381151-cNGtX83bJIk1dK5AlN7a
Prob135_m2014_q6b,8,526,356,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_8.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381158-dEX4OXa7XwUnC8LvZXym
Prob135_m2014_q6b,9,526,304,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob135_m2014_q6b\Prob135_m2014_q6b_gen_9.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381165-CzesLmLmrs7uVatWZtdw
Prob140_fsm_hdlc,0,609,1933,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_0.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381172-UGfBXZs8lQ2xbkPEusbx
Prob140_fsm_hdlc,2,609,985,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_2.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381207-2PGBKE1T2SQ3l14NjOQ2
Prob140_fsm_hdlc,1,609,960,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_1.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381195-SHhoIPB1FmE507nUfTuw
Prob140_fsm_hdlc,4,609,971,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_4.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381234-yEGmGg6zIDl9dUFGYfQx
Prob140_fsm_hdlc,3,609,1120,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_3.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381220-vx33Be8MVzxpb5t8ta5q
Prob140_fsm_hdlc,6,609,812,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_6.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381260-2LsRQ1rTZJXPrKvXYefn
Prob140_fsm_hdlc,7,609,939,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_7.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381274-iSmxQmdawRmI3fg2Vs76
Prob140_fsm_hdlc,8,609,924,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_8.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381286-TNqXHP9qEsZCvw1kWn3K
Prob140_fsm_hdlc,5,609,989,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob140_fsm_hdlc\Prob140_fsm_hdlc_gen_5.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760381248-x0T0QM01WcProyurv8h1
